record_id,time,victim,narrative,date_raw,source_page,notes
6254,2300 - 0847 HRS.,OAK PARK BUSINESS,"person(s) unknown by means of shattering the window with a large piece of cement , gained entry to the victim's business at the above location. once inside the offender(s) removed $300 usc. total loss is $900.00.",31-JUL-19 - 01-AUG -19,1.0,
6255,0000 - 1819 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of defeating the guard lock, removed the victim's red schwinn admir 7 speed 27.5"" that was secured to a pole in the common storage area at the above location total loss is $150.00.",14-JULY-19 - 25-JULY-19,1.0,
6256,2200 - 1357 HRS.,OAK PARK RESIDENT,person(s) unknown gained entry to the victim's garage by means of using a brick to break a side window and then reaching in to unlock the door. offender(s) did not remove any items. estimated damage $150.00,17-MAY-19,2.0,
6257,0002 HRS.,OAK PARK RESIDENT,"lee, john 54yoa, of the 3200 block of west douglas, chicago was arrested for aggravated domestic battery, two counts of domestic battery, and interfering with the reporting of domestic violence.",24-AUG-18,2.0,
6258,0830 - 2109 HRS.,OAK PARK RESIDENT,"person(s) unknown entered the victim's residence by means of using blunt force to the rear door. once inside, three televisions, and a silver apple imac computer were removed. estimated loss $2,500.00",27-JUL-18,1.0,
6259,1200 - 0530 HRS,OAK PARK RESIDENT,"person(s) unknown gained entry to the victim's garage and entered the vehicle inside removing usc. a womens blue 19"" raleigh venture comfort bikewas also removed from the garage. estimated loss $345.00.",29-JUN-18 TO 30-JUN-148,1.0,manual_fix: date 2018-06-29 -> 2018-06-30
6260,2030 - 2041 HRS.,CHICAGO RESIDENT,"offender: male, possiblly of middle eastern descent, early 20's, 5'07"", skinny build, wearing a bright orange shirt approached the victim from behind and grabbed her chest. offender then fled in an unknown direction.",27-MAY-18,1.0,
6261,1115,OAK PARK RESIDENT,"erskin, anthony 18yoa of 700 block s kenneth in chicago was arrested at the above location for the aggravated vehicular hijacking which occurred at 832 n oak park ave on 15-aug-17.",16-JAN-18,1.0,legit_outside_oak_park: event occurred outside OP (non-OP jurisdiction per address)
6262,1530 HRS.,PERCY JULIAN MIDDLE SCHOOL / 416 S. RIDGELAND AVE.,"person(s) unknown, by unknown means, removed the victim's chrome book (serial #unknown) while it was left unattended in the hallway. estimated loss $375.00.",18-FEB-26,1.0,
6263,0200 HRS.,WHEATON RESIDENT,person(s) unknown by unknown means removed the victim's catalytic converter from the victim's - black 2006 toyota prius while parked at the above location. estimated loss unknown at time of report.,22-JAN-26,1.0,
6264,0540 - 0543 HRS.,OAK PARK RESIDENT,"m/b, was observed on video gaining access to the victim's backyard through the rear gate. subject then attempted to gain entry to the victim's garage by means of the side service door with negative results.",07-NOV-25,1.0,
6265,1110 HRS.,TARGET / 1129 LAKE,"williams, darius (m/32) of the 5500 block of w. north ave., chicago, il. was arrested for retail theft. subject was also found to have an active warrant out of cook county for retail theft.",13-FEB-25,1.0,
6266,0204 HRS.,STATE OF ILLINOIS,"climons jr., herman (m/36) of the 4000 block of w. adams, chicago, il. was arrested for unlawful possession of a weapon and manufacture, possession with intent to deliver of cannabis.",10-JAN-25,1.0,
6267,1053 - 1300 HRS,OAK PARK RESIDENT,"person(s) unknown by unknown means smashed the windshiled to the victim's 2023 black chevrolet trail blazer while parked, at the above address. estimated damage unknown at time of report.",29-DEC-24 - 01-JAN-25,1.0,
6268,0001 - 0230 HRS.,OAK PARK RESIDENT,"person(s) unknown by unknown means removed the victim's white 2000 ford explorer. estimated loss $3,000.00. the vehicle was later recovered on the 600 block of n. humphrey. no apprehensions.",05-SEP-24,1.0,
6269,1642 HRS.,OLD NAVY / 417 N. HARLEM,m/b subject entered the business at the above address and removed forty-eight shirts and concealed the shirts into a backback. the subject then exited the business without payment. estimated loss $959.52,03-SEP-24,2.0,
6270,1148 HRS,OAK PARK BUSINESS,a male subject entered the above store and removed (5) cases of modelos beer and left without paying. the subject entered a black suv and fled the scene l/s driving n/b on ridgeland. estimated loss $160.16.,04-AUG-24,1.0,
6271,1304 HRS.,CHICAGO RESIDENT,"offender: m/b, exited a black colored chevrolet trax and struck the victim's 2005 toyota sienna, breaking the rear window. offender was last seen east on roosevelt. estimated damage is unknown.",31-JUL-24,2.0,
6272,1330 - 1425 HRS.,LOMBARD RESIDENT,"person(s) unknown by unknown means gained entry to the victim's 2004 gmc savanna. once inside, offender(s) removed a black wallet containing mutiple cards, and a portable speaker. estimated loss $450.00",26-JUN-24,2.0,
6273,1432 HRS.,OAK PARK RESIDENT,"offender: m/b, removed a delivered package containing a pair of chico brand blue jeans from the victim's residence. offender was last seen leaving in a light blue or gray colored pontiac. estimated loss $100.00",29-MAY-24,2.0,
6274,0700 - 1430 HRS.,ADDISON RESIDENT,"offender(s) unknown, by means of an unlocked door gained access to the victim's 2002 dodge ram. once inside, offender removed a driver's license, u.s.c., and an iphone 15. estimated loss $1,260.00",16-APR-24,1.0,
6275,1311 HRS.,STATE OF MISSOURI,"subject: wondrasek, francis p. (m/67) of the 400 block of garfield, oak park, il. was arrested on an active warrant out of st. louis county, missouri for leaving the scene of an accident, assault and trespass.",12-NOV-23,6.0,
6276,0806-0809 HRS.,OAK PARK BUSINESS,"a male subject 20-30 yoa entered the business and filled two red colored target baskets with (6) tide pod containers, then walked past the last point of purchase and exited the store. estimated loss is $143.94.",29-OCT-23,2.0,
6277,1521 HRS.,OAK PARK RESIDENT,subject(s) unknown by unknown means broke the rear passenger side window of the victim's silver hyundai sonata while it was parked in the driveway at the above location. estimated loss $150.00.,09-OCT-23,2.0,
6278,0049 HRS,,"carter, gregory m/25yoa of the 2600 block of w. thomas in chicago was stopped for traffic at the above location. a name check showed subject to have an active calumet park warrant for uuw. subject released on bond.",07-OCT-23,1.0,
6279,0745 HRS.,CTA / 567 W. LAKE ST. CHICAGO,"subject: muldrow, jamal (m/51) of the 400 block of camelot, lagrange, ga. was arrested for criminal damage to property, disorderly conduct and trespass on railroad property.",23-JUL-23,5.0,
6280,1917 HRS.,OAK PARK RESIDENT,"subject: hill, dejuan (m/25) of the 1400 block of north luna ave. in chicago was arrested at the above location for domestic battery. the subject was transported to bond hearings.",09-JUN-23,3.0,
6281,1200-1735 HRS.,OAK PARK RESIDENT,"person(s) unknown damaged the hood, the front windshield and the windshield wiper dispenser on the victim's 2011 honda accord, by means of a piece of concrete. total estimated damage $2,500.00.",24-MAY-23,1.0,
6282,2102 HRS.,OAK PARK RESIDENT,"subject: rodriguez-salazar, javier (m/30) of the 1200 block of north taylor in oak park was arrested at the above location for domestic battery. the subject was transported to bond hearings.",05-MAY-23,1.0,
6283,1300-1313 HRS.,OAK PARK RESIDENT,person(s) unknown by unknown means removed the catalytic converter from the victim's 2002 honda crv while it was parked at the above location. total estimated loss $300.00.,20-APR-23,1.0,
6284,2200 - 0723 HRS.,OAK PARK RESIDENT,"person(s) unknown by unknown means broke the passenger side window of the victim's 2019 jaguar. once inside, the offender(s) ransacked the interior of the vehicle. estimated damage $200.00",17-APR-23 - 18-APR-23,1.0,
6285,2200-1830 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of breaking out a car window gained entry to and removed the victim's 2019 kia sportage while it was parked at the above location. total estimated loss $23,000.00.",11-APR-23 - 12-APR-23,2.0,
6286,1730-1000 HRS.,"COLUMBUS, OH RESIDENT","person(s) unknown by use of an unknown cutting tool, removed the catalytic converter from underneath the victim's 2009 toyota sienna. total loss estimated at $1,000.00.",07-APR-23 - 08-APR-23,2.0,
6287,1400 HRS.,OAK PARK RESIDENT,the 2017 hyundai sonata that was reported stolen out of oak park on 22-feb-23 from the 800 block of south blvd. was recovered by the chicago p.d. no apprehensions. owner was notified.,24-FEB-23,3.0,legit_outside_oak_park: event outside OP (CHICAGO)
6288,1237-1240 HRS.,TARGET,the m/u offender entered the store and removed twelve 8 ounce olay facial creams from the display shelf and concealed the items inside his clothing. the offender left the store without purchasing the items. estimated loss $359.88.,05-JAN-23,1.0,
6289,1800-2145 HRS.,OAK PARK RESIDENT,"person(s) unknown, by means of an open overhead door gained entry to the victim's garage. once inside, the offender(s) removed a red in color men's ""trek marlin"" bike. loss estimated at $700.00.",08-JAN-23,4.0,
6290,1009 HRS.,CHICAGO RESIDENT,"subject: fisher, damion (m/44) of the 7700 block of west van buren st. in chicago was arrested at the above location for battery. subject was transported to the station, processed and held for bond hearing.",11-NOV-22,1.0,
6291,2005 HRS.,FOREST PARK RESIDENT,"person(s) unknown by means of an unlocked door, gained entry to the victim's running and unattended lexus rx300. once inside, the offender fled in the vehicle. estimated loss $8,000.00.",29-OCT-22,2.0,
6292,. 2235 - 2240 HRS.,OAK PARK RESIDENT,person(s) unknown used a sharpened object to puncture a hole in the victim's halloween decoration (9ft tall purple inflatable dragon) that was in the front yard. estimated loss $140.00.,10-OCT-22,2.0,
6293,1645-2025 HRS.,OAK PARK RESIDENT,"person(s) unknown, by unknown means, removed the victim's 2017 hyundai tucson. the vehicle contained a wallet, driver's license, usc, debit card and work equipment. loss estimated at $15,000.00.",04-OCT-22,2.0,
6294,. 2130 - 0640 HRS.,OAK PARK RESIDENT,person(s) unknown by means of breaking the passenger side window gained access to the victim's 2020 hyundai tucson. once inside the offender(s) ransacked the passenger compartment. estimated loss/damage $200.00.,15-AUG-22 - 16-AUG-22,2.0,
6295,1936 HRS,,"jordan, calvin, male 55yoa of the 0 block of south mayfield in chicago was stopped as a suspicious person. a name check showed subject to have an active cook county violation of probation warrant. subject held for bond hearings.",26-JUL-22,2.0,
6296,0349 HRS.,SP+ MANAGEMENT - 938 LAKE ST.,"offender m/b last seen wearing a black hoodie by means of using brute force, caused the barrier arm to go up so the vehicle could exit without paying. estimated loss $1,500.00.",22-JUN-22,2.0,
6297,1530-1800 HRS.,OAK PARK RESIDENT,person(s) unknown by means of an unlocked door gained entry to the victim's dark blue 2016 acura tlx while parked at the above address removed the victim's cell phone.estimated loss $300.00.,10-DEC-21,2.0,
6298,2100 HOURS-0700 HOURS,OAK PARK RESIDENT,"offender(s) unknown by unknown means removed the victim's catalytic converter from their mitsubishi outlander while it was parked outside the above address. total estimated loss is $2,000.00.",07 DECEMBER 2021-08 DECEMBER 2021,1.0,
6299,1745 HRS,OAK PARK RESIDENT,"johnson, corjae 21yoa of 4000 block of w cullerton in chicago was arrested at the above location for domestic battery after offender struck victim in the face with a closed fist during an altercation.",07-SEP-21,2.0,
6300,0700-1532 HRS.,CHICAGO RESIDENT,"person(s) unknown slashed all four tires, scratched the paint on both sides and knocked the passenger side view mirror off the victim's gray jeep patriot while parked. estimated loss $1,500.00.",21-AUG-21,3.0,
6301,2000-0556 HRS.,OAK PARK RESIDNET,"offender(s) unknown by means of breaking the rear windshild gained entry to the victim's vehicle and removed a pair of apple airpods and a pair of black gucci shoes. estimated loss $1,050.00.",13-AUG-21 - 14-AUG-21,1.0,
6302,1300-1446 HRS,OAK PARK RESIDENT,"person(s) unknown removed the victim's red in color four wheel motorized wheelchair with a basket in front (brand: hoveround) from the rear of the above location while it was parked. loss is estimated at $1,400.00.",18-JUL-21,3.0,
6303,1847 HRS.,OAK PARK RESIDENT,three offenders in their late teens (2 wearing black hoodies- 1 unknown clothing) removed the victim's green jamis bicycle while it was left unattended and unsecured in above area. total estimated loss $745.00,13-JUL-21,1.0,
6304,2300 - 0800 HRS.,OAK PARK RESIDENT,"person(s) unknown by means of an unlocked side service door gained access to the victim's garage. once inside, the offender(s) removed a impact drill, a table saw and a lawn mower. estimated loss is $1260.00.",22-JUNE-2021 - 23-JUN-2021,1.0,
6305,1800-2100 HRS.,OAK PARK RESIDENT,"offender(s) unknown by unknown means removed the passenger side mirror and the chrome on the rear driver's side window of the victim's 2016 infinity qx70 while parked. estimated loss $2,500.00.",18-JUN-21,1.0,
6306,0730-1914 HRS.,CHICAGO RESIDENT,offender(s) unknown broke the front passenger window of the victim's 2016 toyota while it was parked. offender(s) then entered the victim's vehicle and removed a purse and its contents. estimated loss $100.00.,26-APR-21,1.0,manual_fix: regeocoded_with_op_bias
